,Kingdom,Phylum,Class,Order,Family,Genus
ASV3434,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3435,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3436,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3437,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
ASV3438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA
ASV3439,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter
ASV3440,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia
ASV3441,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3442,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3443,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV3444,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3445,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV3446,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3447,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3448,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3449,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV3450,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV3451,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,NA,NA
ASV3452,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter
ASV3453,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3454,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3455,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA
ASV3456,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3457,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3458,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3459,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3460,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes
ASV3462,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV3463,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV3464,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3465,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3466,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Virgisporangium
ASV3467,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV3468,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3469,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3470,Bacteria,RCP2-54,NA,NA,NA,NA
ASV3471,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3472,Bacteria,RCP2-54,NA,NA,NA,NA
ASV3473,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV3474,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3475,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3476,Bacteria,RCP2-54,NA,NA,NA,NA
ASV3477,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3478,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3479,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,NA,NA
ASV3480,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3481,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
ASV3482,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV3483,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV3484,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3485,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,AKYG587
ASV3486,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
ASV3487,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3488,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3489,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3490,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
ASV3491,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3492,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV3493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV3494,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia
ASV3495,Bacteria,RCP2-54,NA,NA,NA,NA
ASV3496,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
ASV3497,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV3498,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium
ASV3499,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
